Month,Age Range,Classification,Category,Percentage %
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,41.7
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,9.8
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,6.4
Feb-19,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.6
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,2.1
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",17.5
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.9
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,7.9
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,9.8
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.3
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.4
Feb-19,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.7
Feb-19,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,72.6
Feb-19,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,37.9
Feb-19,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,16.4
Feb-19,People aged 25 - 39 years,Age of youngest child in household,   5 years,5.6
Feb-19,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,9.9
Feb-19,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.7
Feb-19,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,27.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,16.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,1.7
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,2.9
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,3.7
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,35.1
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,4.7
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,12.4
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,5.6
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,6.3
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,1.9
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.1
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,4.1
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,34.5
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,4.3
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,23.1
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,7.2
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,10.1
Feb-19,People aged 40 - 54 years,Reason did not actively look for work,Did not know,3.9
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.3
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",5.9
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.3
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,2.7
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,10.4
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.3
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-19,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,1.2
Feb-19,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,52.0
Feb-19,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,6.4
Feb-19,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,5.9
Feb-19,People aged 40 - 54 years,Age of youngest child in household,   5 years,4.9
Feb-19,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,19.1
Feb-19,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,15.7
Feb-19,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,48.0
Feb-19,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,21.7
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,14.1
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.1
Feb-19,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.8
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-19,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.2
Feb-19,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,1.5
Feb-19,People aged 55 years and over,Reason did not actively look for work,Personal reasons,48.1
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,3.0
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,14.4
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.8
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,23.6
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.3
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.2
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,1.8
Feb-19,People aged 55 years and over,Reason did not actively look for work,Family reasons,13.3
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,7.9
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Childcare,3.0
Feb-19,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,2.4
Feb-19,People aged 55 years and over,Reason did not actively look for work,Other reasons,13.9
Feb-19,People aged 55 years and over,Reason did not actively look for work,Did not know,3.1
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",1.2
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.9
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-19,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,0.9
Feb-19,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,3.0
Feb-19,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,0.7
Feb-19,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,0.5
Feb-19,People aged 55 years and over,Age of youngest child in household,   5 years,0.4
Feb-19,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,0.7
Feb-19,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,0.7
Feb-19,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,97.0
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,7.2
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.3
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.0
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.6
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.5
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.5
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,2.3
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,73.5
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,1.6
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,5.2
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,60.3
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,2.3
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.5
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,0.5
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,3.2
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,6.4
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,2.1
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,2.9
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.4
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,9.3
Feb-20,People aged 15 - 24 years,Reason did not actively look for work,Did not know,3.6
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",1.9
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.4
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.3
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-20,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.3
Feb-20,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,44.5
Feb-20,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,8.2
Feb-20,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,2.8
Feb-20,People aged 15 - 24 years,Age of youngest child in household,   5 years,1.7
Feb-20,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,6.9
Feb-20,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,24.8
Feb-20,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,55.5
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,6.1
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.0
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.0
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,0.5
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.8
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,1.8
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,32.1
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,3.5
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,7.0
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,15.2
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,2.4
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.8
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.7
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,2.5
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,54.2
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,3.6
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,41.3
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,9.3
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,5.5
Feb-20,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.0
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.1
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",18.0
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,1.0
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,6.6
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,9.9
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.8
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.4
Feb-20,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,2.4
Feb-20,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,73.4
Feb-20,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,38.9
Feb-20,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,17.1
Feb-20,People aged 25 - 39 years,Age of youngest child in household,   5 years,5.1
Feb-20,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,10.3
Feb-20,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.0
Feb-20,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,26.6
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,9.5
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,0.4
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.0
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.0
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,3.6
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",0.2
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,3.3
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,38.6
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Own short-term illness or injury,3.5
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Own long-term health condition or disability,14.5
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Attending an educational institution,6.3
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Had no need or want to work,7.8
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Working in an unpaid voluntary job,1.4
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Problems with access to transport,0.8
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Moved house or holidays,4.3
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,Family reasons,40.0
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,7.1
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Childcare,25.0
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,   Other family considerations,7.9
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,Other reasons,9.6
Feb-20,People aged 40 - 54 years,Reason did not actively look for work,Did not know,2.2
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.5
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",5.4
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Children too young or too old,5.1
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Prefers to look after children,8.3
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,2.7
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-20,People aged 40 - 54 years,Reason childcare is a barrier to looking for work,Other childcare reasons,3.1
Feb-20,People aged 40 - 54 years,Age of youngest child in household,With children aged under 15 years,57.1
Feb-20,People aged 40 - 54 years,Age of youngest child in household,   0 - 2 years,9.3
Feb-20,People aged 40 - 54 years,Age of youngest child in household,   3 - 4 years,7.6
Feb-20,People aged 40 - 54 years,Age of youngest child in household,   5 years,5.5
Feb-20,People aged 40 - 54 years,Age of youngest child in household,   6 - 9 years,19.2
Feb-20,People aged 40 - 54 years,Age of youngest child in household,   10 - 14 years,15.5
Feb-20,People aged 40 - 54 years,Age of youngest child in household,Without children aged under 15 years,42.9
Feb-20,People aged 55 years and over,Reason did not actively look for work,Discouraged job seekers,24.9
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Considered too young or too old by employers,16.4
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.9
Feb-20,People aged 55 years and over,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.3
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Cultural background or language difficulties,1.5
Feb-20,People aged 55 years and over,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.4
Feb-20,People aged 55 years and over,Reason did not actively look for work,   No jobs in suitable hours,1.4
Feb-20,People aged 55 years and over,Reason did not actively look for work,Personal reasons,44.3
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Own short-term illness or injury,5.4
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Own long-term health condition or disability,12.8
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Attending an educational institution,1.1
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Had no need or want to work,21.2
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Working in an unpaid voluntary job,3.2
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Problems with access to transport,0.0
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Moved house or holidays,0.6
Feb-20,People aged 55 years and over,Reason did not actively look for work,Family reasons,11.3
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Caring for ill or elderly person or family member,6.0
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Childcare,1.6
Feb-20,People aged 55 years and over,Reason did not actively look for work,   Other family considerations,3.8
Feb-20,People aged 55 years and over,Reason did not actively look for work,Other reasons,17.6
Feb-20,People aged 55 years and over,Reason did not actively look for work,Did not know,1.8
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,Booked out or no places available,0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,Children too young or too old,0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,Prefers to look after children,0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.2
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-20,People aged 55 years and over,Reason childcare is a barrier to looking for work,Other childcare reasons,1.4
Feb-20,People aged 55 years and over,Age of youngest child in household,With children aged under 15 years,4.7
Feb-20,People aged 55 years and over,Age of youngest child in household,   0 - 2 years,1.3
Feb-20,People aged 55 years and over,Age of youngest child in household,   3 - 4 years,1.4
Feb-20,People aged 55 years and over,Age of youngest child in household,   5 years,0.1
Feb-20,People aged 55 years and over,Age of youngest child in household,   6 - 9 years,0.6
Feb-20,People aged 55 years and over,Age of youngest child in household,   10 - 14 years,1.3
Feb-20,People aged 55 years and over,Age of youngest child in household,Without children aged under 15 years,95.3
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,Discouraged job seekers,7.3
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.7
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",2.2
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Cultural background or language difficulties,0.0
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",3.1
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   No jobs in suitable hours,1.3
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,Personal reasons,72.6
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Own short-term illness or injury,2.4
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Own long-term health condition or disability,4.0
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Attending an educational institution,60.9
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Had no need or want to work,2.4
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.0
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Problems with access to transport,1.2
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Moved house or holidays,1.6
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,Family reasons,5.4
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,0.8
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Childcare,3.0
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,   Other family considerations,1.5
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,Other reasons,11.5
Feb-21,People aged 15 - 24 years,Reason did not actively look for work,Did not know,3.3
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,0.0
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",1.8
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.1
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Children too young or too old,0.3
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Prefers to look after children,0.6
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,0.0
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.0
Feb-21,People aged 15 - 24 years,Reason childcare is a barrier to looking for work,Other childcare reasons,0.2
Feb-21,People aged 15 - 24 years,Age of youngest child in household,With children aged under 15 years,45.2
Feb-21,People aged 15 - 24 years,Age of youngest child in household,   0 - 2 years,6.3
Feb-21,People aged 15 - 24 years,Age of youngest child in household,   3 - 4 years,1.8
Feb-21,People aged 15 - 24 years,Age of youngest child in household,   5 years,2.6
Feb-21,People aged 15 - 24 years,Age of youngest child in household,   6 - 9 years,6.8
Feb-21,People aged 15 - 24 years,Age of youngest child in household,   10 - 14 years,27.6
Feb-21,People aged 15 - 24 years,Age of youngest child in household,Without children aged under 15 years,54.8
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,Discouraged job seekers,6.4
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Considered too young or too old by employers,0.0
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,0.6
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.4
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Cultural background or language difficulties,1.0
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",1.2
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   No jobs in suitable hours,2.3
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,Personal reasons,31.6
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Own short-term illness or injury,2.3
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Own long-term health condition or disability,7.3
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Attending an educational institution,18.5
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Had no need or want to work,1.7
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Working in an unpaid voluntary job,0.5
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Problems with access to transport,0.3
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Moved house or holidays,0.8
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,Family reasons,49.9
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Caring for ill or elderly person or family member,3.2
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Childcare,39.4
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,   Other family considerations,7.3
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,Other reasons,9.7
Feb-21,People aged 25 - 39 years,Reason did not actively look for work,Did not know,2.4
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,No childcare in locality or at all,1.4
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"Childcare costs, too expensive",13.4
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Booked out or no places available,0.9
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Children too young or too old,4.7
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Prefers to look after children,13.3
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Child has a disability or special needs,1.2
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,"On maternity, paternity or parental leave",0.7
Feb-21,People aged 25 - 39 years,Reason childcare is a barrier to looking for work,Other childcare reasons,3.8
Feb-21,People aged 25 - 39 years,Age of youngest child in household,With children aged under 15 years,69.8
Feb-21,People aged 25 - 39 years,Age of youngest child in household,   0 - 2 years,38.9
Feb-21,People aged 25 - 39 years,Age of youngest child in household,   3 - 4 years,12.7
Feb-21,People aged 25 - 39 years,Age of youngest child in household,   5 years,6.2
Feb-21,People aged 25 - 39 years,Age of youngest child in household,   6 - 9 years,9.7
Feb-21,People aged 25 - 39 years,Age of youngest child in household,   10 - 14 years,2.3
Feb-21,People aged 25 - 39 years,Age of youngest child in household,Without children aged under 15 years,30.2
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,Discouraged job seekers,10.9
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Considered too young or too old by employers,0.9
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Believes ill health or disability discourages employers,1.1
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,"   Lacked necessary skills, education or experience",1.5
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   Cultural background or language difficulties,1.6
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,"   No jobs in locality, line of work or no jobs at all",4.2
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,   No jobs in suitable hours,1.6
Feb-21,People aged 40 - 54 years,Reason did not actively look for work,Personal reasons,36.3
